city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,hx_obj,hx_time,i_max,seed
SB,1,2,6,2246,4208,325.91,166.107,326,92,325.91,300.679,325.91,300,"[30.0, 570.0, 30.0, 570.0]",6994670074771835359
SB,2,2,6,2246,4208,292.93,154.603,326,92,292.93,301.223,292.9284999985266,300,"[210.0, 750.0, 570.0, 570.0]",2907805861020152365
SB,3,2,6,2246,4208,298.2,161.77,326,92,298.2,300.814,298.19850002655244,300,"[30.0, 390.0, 750.0, 390.0]",3642476179444792856
SB,4,2,6,2246,4208,323.61,300.302,326,92,323.61,300.431,323.61,300,"[30.0, 390.0, 390.0, 30.0]",2504330562677288137
SB,5,2,6,2246,4208,453.22,266.58,326,92,453.22,300.34,453.2192203552986,300,"[390.0, 30.0, 30.0, 390.0]",758208670137472920
SB,6,2,6,2246,4208,502.27,300.654,326,92,502.27,300.378,502.26999999999975,300,"[210.0, 210.0, 30.0, 390.0]",4223740572560454686
SB,7,2,6,2246,4208,446.23,300.629,326,92,446.23,300.355,446.2295800056818,300,"[30.0, 210.0, 210.0, 570.0]",3788334612552660041
SB,8,2,6,2246,4208,631.01,300.741,326,92,631.01,300.348,631.01,300,"[210.0, 210.0, 30.0, 30.0]",777251730596214179
SB,9,2,6,2246,4208,448.45,300.428,326,92,448.45,301.079,448.4492200037595,300,"[570.0, 750.0, 210.0, 390.0]",623241876122325472
SB,10,2,6,2246,4208,315.63,199.377,326,92,315.63,301.13,315.62922003251344,300,"[390.0, 930.0, 210.0, 750.0]",6995785298707470605
SB,1,3,5,2807,5104,121.68,300.365,407,109,121.68,300.333,121.6795800098283,300,"[570.0, 210.0, 750.0, 750.0]",3432503875819070852
SB,2,3,5,2807,5104,141.25,301.043,407,109,141.25,300.649,141.24922000378507,300,"[210.0, 390.0, 570.0, 390.0]",6095259190193550364
SB,3,3,5,2807,5104,89.2,175.404,407,109,89.2,300.386,89.19844472232785,300,"[30.0, 570.0, 750.0, 390.0]",8629755967362044368
SB,4,3,5,2807,5104,136.2,300.495,407,109,136.2,300.82,136.19958002814195,300,"[930.0, 30.0, 210.0, 210.0]",7467501781191526563
SB,5,3,5,2807,5104,136.42,300.371,407,109,136.42,301.368,136.4188600262088,300,"[390.0, 930.0, 210.0, 570.0]",2896648910770443764
SB,6,3,5,2807,5104,131.95,262.506,407,109,131.95,301.929,131.94916061464414,300,"[30.0, 210.0, 210.0, 390.0]",5669584120341929414
SB,7,3,5,2807,5104,123.35,300.286,407,109,123.35,300.98,123.3492200335308,300,"[390.0, 210.0, 570.0, 390.0]",9209800562262771564
SB,8,3,5,2807,5104,270.54,300.316,407,109,270.54,300.414,270.5398858054503,300,"[30.0, 30.0, 210.0, 570.0]",8684465596343652644
SB,9,3,5,2807,5104,121.68,300.403,407,109,121.68,300.27,121.6788600314161,300,"[750.0, 570.0, 210.0, 390.0]",2756150150912489629
SB,10,3,5,2807,5104,127.06,301.016,407,109,127.06,301.951,127.05958006729384,300,"[390.0, 210.0, 390.0, 210.0]",2130162402455750584
SB,1,4,4,2994,5202,96.8,300.438,434,114,96.8,300.747,96.79916358970596,300,"[570.0, 210.0, 210.0, 390.0]",7576773131225668592
SB,2,4,4,2994,5202,133.12,300.446,434,114,133.12,300.386,133.11994002872552,300,"[30.0, 390.0, 210.0, 30.0]",4772512160662399617
SB,3,4,4,2994,5202,123.35,300.443,434,114,123.35,300.459,123.34886005545673,300,"[570.0, 210.0, 210.0, 390.0]",770272658567257075
SB,4,4,4,2994,5202,138.58,300.683,434,114,138.58,300.377,138.5792200496914,300,"[390.0, 210.0, 570.0, 570.0]",304633474551424462
SB,5,4,4,2994,5202,177.38,300.311,434,114,177.38,300.78,177.38,300,"[210.0, 390.0, 210.0, 390.0]",6856469008539258559
SB,6,4,4,2994,5202,127.94,300.378,434,114,127.94,300.422,127.93886009952155,300,"[570.0, 570.0, 210.0, 210.0]",8226592122855054349
SB,7,4,4,2994,5202,120.54,300.841,434,114,120.54,300.571,120.5392211349091,300,"[210.0, 390.0, 390.0, 750.0]",8658614695223342053
SB,8,4,4,2994,5202,82.78,100.859,434,114,82.78,300.765,82.77772108817476,300,"[30.0, 570.0, 210.0, 570.0]",4798150218331192961
SB,9,4,4,2994,5202,0.0,5.555,434,114,0.0,11.53,0.0,3,"[30.0, 750.0, 570.0, 390.0]",8464058109394518788
